Index,Data
REAL,REAL
756,664.95
757,666.6
758,668.25
759,669.9
760,671.55
761,673.2
762,674.575
763,675.4
764,675.67505
765,675.67505
766,675.67505
767,675.4
768,674.575
769,673.475
770,672.92505
771,673.475
772,674.85
773,676.5
774,677.875
775,678.15
776,676.5
777,672.925
778,668.525
779,664.95
780,663.3
781,663.575
782,664.675
783,665.225
784,664.675
785,663.575
786,663.3
787,664.67505
788,666.875
789,668.25
790,667.975
791,666.875
792,666.32495
793,666.875
794,667.975
795,668.525
796,668.25
797,667.975
798,668.25
799,668.25
800,666.875
801,664.67505
802,663.575
803,664.67505
804,666.875
805,668.25
806,667.975
807,666.6
808,664.95
809,663.3
810,661.925
811,661.1
812,660.55
813,659.45
814,657.25
815,654.775
816,653.4
817,653.675
818,654.775
819,655.32495
820,654.775
821,653.4
822,652.025
823,651.2
824,650.92505
825,651.2
826,652.025
827,653.4
828,655.05
829,656.7
830,658.35
831,659.725
832,660.275
833,659.45
834,656.975
835,653.4
836,650.1
837,648.725
838,649.825
839,652.3
840,654.5
841,655.32495
842,654.775
843,653.675
844,653.4
845,655.05
846,658.625
847,663.3
848,667.975
849,671.55
850,672.925
851,671.55
852,667.975
853,663.575
854,660
855,658.35
856,658.35
857,658.35
858,656.975
859,654.5
860,652.3
861,651.475
862,652.3
863,654.5
864,656.975
865,658.35
866,658.075
867,656.975
868,656.42505
869,657.25
870,659.725
871,663.3
872,666.6
873,668.25
874,668.25
875,667.975
876,668.525
877,669.625
878,670.45
879,671
880,671.825
881,673.2
882,674.85
883,676.5
884,678.15
885,679.525
886,680.07495
887,679.25
888,677.05
889,674.3
890,672.1
891,671
892,670.45
893,669.625
894,668.525
895,668.25
896,669.9
897,673.2
898,676.775
899,679.25
900,680.35
901,680.9
902,682
903,684.2
904,686.95
905,689.425
906,691.625
