Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
9/1/2008,12936.81,12940.55,12834.18,12834.18,87524
9/2/2008,12779.89,12920.52,12491.07,12609.47,126593
9/3/2008,12703.36,12767.5,12647.29,12689.59,129255
9/4/2008,12627.64,12660.57,12514.26,12557.66,145184
9/5/2008,12385.65,12385.65,12163.33,12212.23,155675
9/8/2008,12359.93,12671.76,12352.35,12624.46,135064
9/9/2008,12529.96,12529.96,12335.74,12400.65,119593
9/10/2008,12249.14,12404.67,12159.97,12346.63,155168
9/11/2008,12237.52,12259.02,12081.51,12102.5,131564
9/12/2008,12256.78,12277.57,12059.09,12214.76,194638
9/16/2008,12028.45,12028.45,11551.4,11609.72,183956
9/17/2008,11737.62,11880.03,11708.7,11749.79,158091
9/18/2008,11576.94,11577.88,11301.46,11489.3,163006
9/19/2008,11631.6,11920.86,11615.2,11920.86,184695
9/22/2008,12037.89,12263.95,12037.89,12090.59,150476
9/24/2008,12031.98,12115.03,11904.6,12115.03,152643
9/25/2008,11925.71,12025.41,11835.28,12006.53,113505
9/26/2008,12026.34,12082.64,11788.73,11893.16,131440
9/29/2008,11883.25,12062.67,11721.05,11743.61,122483
9/30/2008,11565.7,11565.7,11160.83,11259.86,165021
10/1/2008,11396.61,11456.64,11314.28,11368.26,142393
10/2/2008,11423.13,11452.39,11143.79,11154.76,156422
10/3/2008,11052.1,11099.73,10938.14,10938.14,174362
10/6/2008,10817.27,10839.5,10374.38,10473.09,184991
10/7/2008,10328.54,10363.14,9916.21,10155.9,210774
10/8/2008,10011.64,10011.64,9159.81,9203.32,205494
10/9/2008,9168.16,9443.45,9100.93,9157.49,213486
10/10/2008,9016.34,9016.34,8115.41,8276.43,247260
10/14/2008,8407.94,9455.62,8407.94,9447.57,169338
10/15/2008,9390.5,9601.3,9269.49,9547.47,184980
10/16/2008,9400.85,9400.85,8458.45,8458.45,186198
10/17/2008,8579.57,8763.71,8539.51,8693.82,171472
10/20/2008,8775.24,9038.45,8687.7,9005.59,165639
10/21/2008,9139.26,9358.51,9135.41,9306.25,154789
10/22/2008,9198.14,9198.14,8674.69,8674.69,160517
10/23/2008,8547.79,8547.79,8016.61,8460.98,216811
10/24/2008,8391.04,8391.04,7647.07,7649.08,194698
10/27/2008,7568.36,7878.97,7141.27,7162.9,237435
10/28/2008,7143.34,7626.42,6994.9,7621.92,240703
10/29/2008,7741.52,8211.9,7741.52,8211.9,222855
10/30/2008,8269.71,9030.85,8269.71,9029.76,220571
10/31/2008,8958.22,9012.31,8576.98,8576.98,206018
11/4/2008,8702.77,9142.29,8699.77,9114.6,164838
11/5/2008,9224.05,9521.24,9216.3,9521.24,208635
11/6/2008,9373.65,9380.3,8806.71,8899.14,175961
